Symbol,Date,Close,Volume
SBL,2023-04-23,251.9,"21,696.00"
SBL,2023-04-20,252.9,"36,548.00"
SBL,2023-04-19,259.3,"10,532.00"
SBL,2023-04-18,253.8,"13,500.00"
SBL,2023-04-17,257.0,"10,251.00"
SBL,2023-04-16,260.0,"17,957.00"
SBL,2023-04-13,259.0,"25,194.00"
SBL,2023-04-12,265.0,"43,283.00"
SBL,2023-04-11,252.5,"59,409.00"
SBL,2023-04-10,250.0,"27,027.00"
SBL,2023-04-09,249.9,"38,543.00"
SBL,2023-04-06,254.0,"31,382.00"
SBL,2023-04-05,256.0,"38,398.00"
SBL,2023-04-04,251.0,"36,951.00"
SBL,2023-04-03,251.0,"36,721.00"
SBL,2023-04-02,255.1,"35,022.00"
SBL,2023-03-30,259.0,"25,527.00"
SBL,2023-03-29,261.9,"33,096.00"
SBL,2023-03-28,260.0,"36,853.00"
SBL,2023-03-27,263.9,"78,691.00"
SBL,2023-03-26,264.0,"69,960.00"
SBL,2023-03-23,281.9,"299,272.00"
SBL,2023-03-22,260.2,"40,712.00"
SBL,2023-03-20,255.0,"50,613.00"
SBL,2023-03-19,261.0,"67,933.00"
SBL,2023-03-16,263.0,"63,161.00"
SBL,2023-03-15,268.0,"35,518.00"
SBL,2023-03-14,273.0,"17,595.00"
SBL,2023-03-13,269.9,"16,534.00"
SBL,2023-03-12,273.0,"19,792.00"
SBL,2023-03-09,276.0,"20,835.00"
SBL,2023-03-07,268.0,"15,079.00"
SBL,2023-03-05,268.0,"23,407.00"
SBL,2023-03-02,271.9,"18,230.00"
SBL,2023-03-01,274.0,"13,859.00"
SBL,2023-02-28,276.0,"17,271.00"
SBL,2023-02-27,274.0,"26,425.00"
SBL,2023-02-26,278.0,"28,986.00"
SBL,2023-02-23,278.0,"27,494.00"
SBL,2023-02-22,281.5,"14,796.00"
SBL,2023-02-16,282.0,"16,450.00"
SBL,2023-02-15,281.5,"77,441.00"
SBL,2023-02-14,284.5,"36,246.00"
SBL,2023-02-12,288.0,"43,901.00"
SBL,2023-02-09,293.0,"17,629.00"
SBL,2023-02-08,294.0,"39,167.00"
SBL,2023-02-07,292.9,"44,167.00"
SBL,2023-02-06,286.0,"17,015.00"
SBL,2023-02-05,286.9,"27,135.00"
SBL,2023-02-02,283.0,"29,054.00"
SBL,2023-02-01,286.0,"16,740.00"
SBL,2023-01-31,287.0,"29,481.00"
SBL,2023-01-30,291.0,"38,924.00"
SBL,2023-01-29,294.0,"37,470.00"
SBL,2023-01-26,296.0,"24,605.00"
SBL,2023-01-25,298.0,"41,590.00"
SBL,2023-01-24,303.0,"36,850.00"
SBL,2023-01-23,298.0,"81,426.00"
SBL,2023-01-19,303.1,"38,806.00"
SBL,2023-01-18,300.3,"76,324.00"
SBL,2023-01-17,306.8,"41,879.00"
SBL,2023-01-12,307.5,"66,655.00"
SBL,2023-01-10,316.5,"162,300.00"
SBL,2023-01-09,311.9,"157,341.00"
SBL,2023-01-08,298.8,"73,011.00"
SBL,2023-01-05,300.0,"59,839.00"
